,nome,genero,dtAtualizacao,nEpisodiosTotal,nEpisodios,status,img,link
0,.hack//Roots,"Aventura, Fantasia, Jogos, Sci-Fi",21/11/2017,26,26,Completo,https://punchsubs.net/imagens/projetos/animes/2349_thumb2.jpg,https://punchsubs.net/principal#listar/2349/episodios/stream/1
1,.hack//Sign,"Jogos, Sci-Fi, Aventura, Mistério, Magia, Fantasia",24/11/2017,28,26,Completo,https://punchsubs.net/imagens/projetos/animes/2362_thumb2.jpg,https://punchsubs.net/principal#listar/2362/episodios/stream/1
2,12-sai.: Chicchana Mune no Tokimeki 2ª Temporada,"Romance, Escolar, Shoujo",05/11/2016,12,12,Nota: Segunda Temporada,https://punchsubs.net/imagens/projetos/animes/1986_thumb2.jpg,https://punchsubs.net/principal#listar/1986/episodios/stream/1
3,18if,Supernatural,07/07/2017,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/2224_thumb2.jpg,https://punchsubs.net/principal#listar/2224/episodios/stream/1
4,3D Kanojo: Real Girl,"Escolar, Romance, Shoujo",03/04/2018,8,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2538_thumb2.jpg,https://punchsubs.net/principal#listar/2538/episodios/stream/1
5,91 Days,Drama,08/07/2016,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/855_thumb2.jpg,https://punchsubs.net/principal#listar/855/episodios/stream/1
6,A.I.C.O.: Incarnation,"Ação, Ficção Científica",22/03/2018,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2525_thumb2.jpg,https://punchsubs.net/principal#listar/2525/episodios/stream/1
7,Absolute Duo,"violência, ecchi, romance, ação, harem, novel, vida escolar",05/01/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/567_thumb2.jpg,https://punchsubs.net/principal#listar/567/episodios/stream/1
8,ACCA: 13ku Kansatsuka,"Drama, Policial",22/12/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/1990_thumb2.jpg,https://punchsubs.net/principal#listar/1990/episodios/stream/1
9,Accel World,"Ação, Novel, Sci-Fi",22/09/2012,25,24,Completo,https://punchsubs.net/imagens/projetos/animes/195_thumb2.jpg,https://punchsubs.net/principal#listar/195/episodios/stream/1
10,Accel World: Infinite Burst,"Ação, Jogo, Ficção Científica, Escolar, Romance",20/08/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2259_thumb2.jpg,https://punchsubs.net/principal#listar/2259/filmes/stream/1
11,Action Heroine Cheer Fruits,"Slice of Life, Comédia, Escolar",09/07/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2231_thumb2.jpg,https://punchsubs.net/principal#listar/2231/episodios/stream/1
